fetch_ts_ms,measured_at_ms,heart_rate
1767971773000,1767971769169,95
1767971775000,1767971774183,96
1767971776000,1767971774183,96
1767971778000,1767971774183,96
1767971780000,1767971779101,102
1767971781000,1767971779101,102
1767971783000,1767971779101,102
1767971785000,1767971784115,103
1767971786000,1767971784115,103
1767971788000,1767971788823,104
1767971790000,1767971788823,104
1767971792000,1767971788823,104
1767971794000,1767971793826,96
1767971795000,1767971793826,96
1767971797000,1767971793826,96
1767971799000,1767971799174,101
1767971800000,1767971799174,101
1767971802000,1767971799174,101
1767971804000,1767971799174,101
1767971805000,1767971805632,101
1767971807000,1767971805632,101
1767971809000,1767971809102,104
1767971810000,1767971809102,104
1767971812000,1767971809102,104
1767971814000,1767971814120,108
1767971816000,1767971814120,108
1767971817000,1767971814120,108
1767971819000,1767971818740,110
1767971821000,1767971818740,110
1767971822000,1767971818740,110
1767971824000,1767971824065,101
1767971826000,1767971824065,101
1767971827000,1767971824065,101
1767971829000,1767971828972,106
1767971831000,1767971828972,106
1767971832000,1767971828972,106
1767971834000,1767971834193,102
1767971836000,1767971834193,102
1767971838000,1767971834193,102
1767971839000,1767971839109,106
1767971841000,1767971839109,106
1767971842000,1767971839109,106
1767971844000,1767971844020,105
1767971846000,1767971844020,105
1767971847000,1767971844020,105
1767971849000,1767971849144,105
1767971850000,1767971849144,105
1767971852000,1767971849144,105
1767971854000,1767971854059,96
1767971855000,1767971854059,96
1767971857000,1767971854059,96
1767971859000,1767971858924,97
1767971860000,1767971858924,97
1767971862000,1767971858924,97
1767971864000,1767971864193,93
1767971865000,1767971864193,93
1767971867000,1767971864193,93
1767971869000,1767971869112,97
1767971870000,1767971869112,97
1767971872000,1767971869112,97
1767971874000,1767971874129,89
1767971875000,1767971874129,89
1767971877000,1767971874129,89
1767971879000,1767971879151,97
1767971880000,1767971879151,97
1767971882000,1767971879151,97
1767971884000,1767971884060,91
1767971886000,1767971884060,91
1767971887000,1767971884060,91
1767971889000,1767971889305,97
1767971891000,1767971889305,97
1767971892000,1767971889305,97
1767971894000,1767971894107,97
1767971896000,1767971894107,97
1767971898000,1767971894107,97
1767971899000,1767971898824,102
1767971901000,1767971898824,102
1767971903000,1767971898824,102
1767971904000,1767971904133,94
1767971906000,1767971904133,94
1767971908000,1767971904133,94
1767971909000,1767971909148,96
1767971911000,1767971909148,96
1767971913000,1767971909148,96
1767971914000,1767971914065,99
1767971916000,1767971914065,99
1767971918000,1767971914065,99
1767971919000,1767971919083,95
1767971921000,1767971919083,95
1767971923000,1767971919083,95
1767971924000,1767971924101,95
1767971926000,1767971924101,95
